                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.95968,                0.85373,                 1.3528,                0.95607,                0.94533,                0.98333,                0.61246,                 1.2664,                0.72557,                 1.6698,             0.00081708,             0.00081708,             0.00081708
                    105,                0.88736,                0.76346,                 1.2566,                0.95408,                    0.9,                0.97243,                0.59465,                  1.305,                0.75559,                   1.74,             0.00080883,             0.00080883,             0.00080883
                    106,                0.88954,                0.74568,                 1.2661,                0.97871,                0.91231,                0.97036,                0.57108,                 1.3692,                0.77118,                 1.8576,             0.00080058,             0.00080058,             0.00080058
                    107,                0.92072,                0.79615,                 1.2995,                0.89632,                0.93333,                0.95979,                0.61473,                 1.2888,                0.71413,                 1.7271,             0.00079233,             0.00079233,             0.00079233
                    108,                0.82062,                0.69444,                 1.2309,                0.92941,                0.89367,                0.97702,                0.66431,                  1.141,                0.66055,                 1.5973,             0.00078407,             0.00078407,             0.00078407
                    109,                 0.8694,                0.75391,                 1.2574,                0.98125,                0.91354,                0.98417,                0.65855,                 1.1129,                0.71012,                  1.538,             0.00077582,             0.00077582,             0.00077582
                    110,                 0.8721,                0.70534,                 1.2773,                0.99084,                    0.9,                0.97666,                0.61861,                 1.2567,                0.79794,                 1.6977,             0.00076757,             0.00076757,             0.00076757
                    111,                0.83876,                0.70635,                  1.281,                 0.8845,                0.96146,                0.95854,                0.59202,                  1.294,                0.78874,                 1.7434,             0.00075932,             0.00075932,             0.00075932
                    112,                0.81266,                0.70914,                 1.2216,                 0.8847,                0.85488,                0.93634,                0.59635,                 1.3394,                0.89928,                 1.8058,             0.00075107,             0.00075107,             0.00075107
                    113,                0.83837,                 0.7211,                 1.2344,                 0.8506,                0.93236,                0.95642,                0.62608,                 1.2128,                0.66982,                 1.6707,             0.00074282,             0.00074282,             0.00074282
                    114,                 0.7988,                0.72463,                 1.1929,                0.92272,                0.96667,                 0.9848,                0.66706,                 1.1644,                0.61077,                  1.622,             0.00073456,             0.00073456,             0.00073456
                    115,                0.83949,                0.72715,                 1.2328,                0.93967,                0.88653,                0.97554,                0.65838,                 1.2015,                0.63102,                 1.6378,             0.00072631,             0.00072631,             0.00072631
                    116,                0.87384,                0.74025,                 1.2703,                0.98155,                0.89975,                0.98223,                0.62638,                 1.2424,                 0.6206,                 1.6653,             0.00071806,             0.00071806,             0.00071806
                    117,                0.82424,                0.70555,                  1.229,                0.93536,                0.90716,                0.97098,                0.65059,                 1.2064,                0.63669,                 1.6593,             0.00070981,             0.00070981,             0.00070981
                    118,                0.86806,                0.72224,                  1.233,                 0.9182,                 0.9596,                0.97721,                0.62503,                 1.1989,                0.66342,                 1.6419,             0.00070156,             0.00070156,             0.00070156
                    119,                0.83826,                0.72425,                 1.2255,                0.95841,                0.88484,                0.95367,                0.64093,                 1.2448,                0.64388,                 1.6836,             0.00069331,             0.00069331,             0.00069331
                    120,                0.81858,                0.73395,                 1.2443,                0.94719,                0.91718,                0.95257,                0.62776,                 1.2806,                0.65248,                 1.6969,             0.00068505,             0.00068505,             0.00068505
                    121,                0.81355,                0.72149,                 1.2545,                0.94338,                0.93333,                 0.9568,                 0.6199,                 1.2746,                0.62512,                    1.7,              0.0006768,              0.0006768,              0.0006768
                    122,                0.85224,                0.69396,                 1.2641,                0.94786,                0.88816,                0.94882,                0.64525,                 1.2474,                0.63048,                 1.7005,             0.00066855,             0.00066855,             0.00066855
                    123,                0.84058,                0.67092,                 1.2396,                0.94686,                0.89619,                0.93375,                0.60169,                 1.3041,                0.64106,                 1.7775,              0.0006603,              0.0006603,              0.0006603
                    124,                0.83972,                0.70955,                 1.2622,                0.94938,                0.93308,                 0.9773,                0.60769,                 1.3439,                0.65813,                 1.8495,             0.00065205,             0.00065205,             0.00065205
                    125,                0.79352,                0.65199,                 1.2275,                  0.881,                0.90521,                0.93848,                0.60783,                 1.2978,                0.76531,                 1.8582,              0.0006438,              0.0006438,              0.0006438
                    126,                0.83507,                0.72907,                 1.2315,                0.89058,                    0.9,                0.95391,                 0.5957,                 1.2821,                0.72019,                 1.8556,             0.00063554,             0.00063554,             0.00063554
                    127,                0.84816,                0.72618,                 1.2596,                 0.9681,                0.96667,                0.99313,                0.60161,                 1.3323,                0.71893,                 1.9072,             0.00062729,             0.00062729,             0.00062729
                    128,                0.79966,                0.69322,                 1.2429,                0.98171,                0.92311,                 0.9896,                0.63222,                 1.2622,                0.63086,                 1.7983,             0.00061904,             0.00061904,             0.00061904
                    129,                0.79973,                0.72563,                 1.2337,                0.91847,                0.96667,                   0.99,                0.66853,                 1.1669,                0.64846,                 1.6614,             0.00061079,             0.00061079,             0.00061079
                    130,                0.81569,                0.66372,                 1.2303,                0.97222,                 0.9607,                0.97906,                0.65678,                 1.1255,                 0.6606,                 1.5905,             0.00060254,             0.00060254,             0.00060254
                    131,                0.77868,                0.64386,                 1.2237,                 0.9064,                0.95861,                0.95693,                0.62385,                 1.2884,                0.70745,                 1.7069,             0.00059429,             0.00059429,             0.00059429
                    132,                0.76434,                0.65293,                 1.2078,                0.95209,                0.93333,                0.95132,                0.64584,                 1.1989,                0.66518,                 1.6521,             0.00058603,             0.00058603,             0.00058603
                    133,                0.72663,                0.61762,                  1.154,                0.82238,                0.95689,                0.94477,                0.61667,                 1.2531,                0.69879,                 1.6906,             0.00057778,             0.00057778,             0.00057778
                    134,                0.78095,                0.66913,                 1.1937,                0.88164,                0.91033,                0.94809,                0.57742,                 1.3747,                0.69871,                 1.8192,             0.00056953,             0.00056953,             0.00056953
                    135,                0.80096,                0.66908,                 1.2362,                 0.8472,                 0.9247,                0.94261,                0.58439,                 1.2903,                0.76719,                 1.7492,             0.00056128,             0.00056128,             0.00056128
                    136,                0.76722,                0.61845,                 1.1668,                0.94565,                    0.9,                0.94944,                0.62435,                 1.1991,                0.73241,                 1.7005,             0.00055303,             0.00055303,             0.00055303
                    137,                0.81895,                0.64624,                 1.2279,                0.94615,                0.92194,                0.94794,                0.61706,                 1.2222,                0.72283,                   1.72,             0.00054478,             0.00054478,             0.00054478
                    138,                0.75196,                0.65278,                 1.1875,                0.95337,                0.93333,                0.95581,                0.62799,                 1.2154,                 0.6113,                 1.6928,             0.00053652,             0.00053652,             0.00053652
                    139,                0.75859,                0.64484,                 1.2165,                0.95502,                0.95737,                0.96752,                0.63104,                 1.1761,                0.59678,                 1.6699,             0.00052827,             0.00052827,             0.00052827
                    140,                0.74303,                0.62827,                 1.1891,                0.95267,                0.93333,                 0.9603,                 0.6443,                 1.1882,                0.61063,                 1.6663,             0.00052002,             0.00052002,             0.00052002
                    141,                0.71335,                0.62594,                 1.1693,                0.98355,                    0.9,                0.95601,                0.63956,                 1.2072,                0.62981,                 1.6441,             0.00051177,             0.00051177,             0.00051177
                    142,                0.79758,                0.65322,                 1.2358,                0.86889,                0.92546,                 0.9263,                0.59109,                 1.2611,                0.71399,                 1.7034,             0.00050352,             0.00050352,             0.00050352
                    143,                0.70145,                0.60188,                 1.1503,                 0.8464,                0.96667,                0.95351,                0.61372,                  1.256,                0.67032,                 1.7273,             0.00049527,             0.00049527,             0.00049527
